start,end,street_name,time
2449886967,42749550,CloseAvenue,37.9945
2449886967,42749545,BronxRiverAvenue,41.9649
103874283,103874281,3rdStreet,12.274810615384615
103137003,103137010,RiverRoad,12.714256704545456
1112485711,103883989,GreeneStreet,2.6205700000000003
42466495,42484051,WarrenStreet,27.098790327868837
42912662,42808637,ForestParkway,7.126922857142858
42809589,42858172,69thLane,40.74145
461040429,42820021,RutledgeAvenue,33.06583333333334
103874278,103874276,3rdStreet,31.858853999999997
461040323,42823270,76thAvenue,39.29500999999999
42808189,42901523,BordenAvenue,25.35083575757575
42465294,42521136,8thStreet,40.33466329588014
276066175,42884818,AstoriaBoulevard,5.156411649484534
42860202,42861879,FurmanvilleAvenue,22.96329166666667
42467033,42467030,ClermontAvenue,27.61339281767957
42516810,42496786,CovertStreet,22.564283612903232
42860194,42861875,64thRoad,22.6295870967742
42467030,42467033,ClermontAvenue,25.813436719745226
42467030,42467029,ClermontAvenue,33.35593048250906
42467029,42467030,ClermontAvenue,31.395166668951358
42467029,42467026,ClermontAvenue,40.89082803386643
42465281,42521134,4thStreet,37.79633643835614
42467026,42467029,ClermontAvenue,36.99679076375713
42467026,42467024,ClermontAvenue,28.849170021186428
1061531491,42442432,AmsterdamAvenue,7.021012749269247
42870690,42536329,SaintNicholasAvenue,14.582164444444444
42467024,42467026,ClermontAvenue,26.09813486580361
42467024,42467023,ClermontAvenue,47.7993102244389
103874259,103874255,3rdStreet,23.506808333333336
42467023,42467024,ClermontAvenue,40.09692492556359
42467023,42467016,ClermontAvenue,30.415681027667986
42516312,42511913,StarrStreet,39.398492452830205
42910163,42885408,50thAvenue,8.65085418604651
42860184,42861870,PenelopeAvenue,22.78122352941177
42910160,42885408,50thAvenue,9.664224032258065
42860576,42849631,47thAvenue,10.358325909090908
42517500,42474919,BergenStreet,19.554022222222226
42860233,42860230,WoodhavenBoulevard,13.215024166666666
42467016,42467023,ClermontAvenue,24.307346093579998
42762954,42730120,SaintPaulsPlace,10.5946375
42517498,42474922,MotherGastonBoulevard,15.929715
42862606,42786614,VanHornStreet,9.646798031496068
42861879,42809128,84thPlace,5.676412413793103
42860230,42860227,WoodhavenBoulevard,11.123296818181817
530754330,103096338,BridgePlazaSouth,26.418740000000003
42466202,42492148,1stStreet,11.305920391872279
42860570,42849631,47thAvenue,9.951582787979973
1061531447,42443313,West63rdStreet,13.683179367854734
42860161,42862217,61stRoad,17.818945728155345
42761331,42780193,East212thStreet,8.812375
1061531839,42431034,West85thStreet,24.571290708855557
42465260,42521132,DegrawStreet,51.10803257918553
42910230,42882823,50thAvenue,16.140367647058824
