name,pop,area (m^2)
42499740,1117,674383
42498485,2813,149700
42497591,4172,161375
42497531,1742,142213
42497237,3923,199703
42496998,3901,392069
42496563,4551,157918
42496540,5582,156418
42496372,2510,580952
42496296,3891,193974
42496251,2804,209632
42496091,1470,291115
42495814,3822,184193
42495195,3945,162108
42495185,3395,171832
42495056,3083,124325
42494847,2472,288337
42494844,3218,103693
42494716,3149,156523
42494213,2766,114166
42494201,2778,151301
42494101,2656,157293
42494061,5685,184121
42493640,2300,162416
42493615,2089,154357
42493609,3451,190560
42493596,3546,149024
42493173,2471,261822
42493154,2868,147204
42492979,3946,166849
42492316,3928,141574
42492223,3008,166278
595352935,10149,258335
42491660,3037,129680
42491632,3075,182398
42491627,1964,127063
42491456,6629,190608
42491177,2582,125308
42490962,3979,174892
42490957,6566,193797
42490936,1554,133027
42490688,5240,167128
42490496,1904,436361
42489099,3829,199558
42488961,1717,140257
42488696,1384,357347
42488527,1892,100899
42488433,2500,137311
42488355,2756,101379
42488263,3313,143799
42488240,4035,160699
42487619,5,1961397
42487599,4976,247180
42487588,3578,149311
42487074,3313,169827
42487066,3366,137020
42486817,3302,134954
42486796,3822,162167
42486785,4064,162692
42486774,3609,141142
42486759,3770,153013
42486746,3920,153377
42486727,4217,182228
42486696,4463,168158
42486686,3823,151236
42486480,3849,506529
42486345,4383,282781
42485886,5001,160096
42485408,2201,138655
1414020864,4494,186505
42485164,2157,143448
42485145,2713,129147
42485084,3487,173679
42485061,4763,239523
42485035,3931,174539
42485022,3422,174443
42485012,4010,188275
42484963,2148,150529
486818472,4805,140752
42484345,3042,167840
42484343,2303,166173
42484030,2516,97529
42484011,3537,179082
42483496,3359,174195
42482869,1480,137931
42482732,2969,131527
42482506,4120,189347
42482381,3823,168496
42482263,3816,138489
42482017,3325,170538
42481959,2924,177080
42481921,4332,259327
42481908,3521,305446
42481679,3250,189757
42481637,3363,139786
42481627,3433,139741
42481615,5175,179759
42481606,2316,182167
42480574,84,168510
42479660,3421,175379
42479643,5253,138408
42479617,3554,173047
42479294,4400,175868
42479273,1630,127730
42479194,5508,246799
42479167,3660,190209
42479153,2910,158803
42478991,3002,126387
42478947,2750,152356
42478941,4329,212859
42478926,3907,151827
42478722,4351,170194
42478553,2983,154981
42478455,5307,154508
42478076,3041,150477
42477959,4923,226736
42477903,2754,161836
42477874,4446,166139
42477839,3416,177849
42477825,3783,168500
42477753,3430,172215
42477555,5643,141811
42477334,2084,108084
595338023,6527,227430
42476744,6956,243452
42476725,2512,96812
42476712,4259,214944
42476355,2750,194432
42476347,4458,253586
42476056,4497,209461
42475980,3272,149645
42475764,4348,129701
42475597,6319,248414
42475541,2434,133472
42475534,1197,321837
42475526,3142,130596
42475481,2833,145858
42475209,6,774114
42474968,4310,138775
42474834,2506,181542
42474832,10000,326221
42474760,4358,744232
42474069,5403,306528
42473952,2596,156270
42473637,2607,139771
42473600,2469,159711
42473580,5281,162149
42473560,4108,259732
42473534,2647,163599
42473300,3344,205561
42473286,3425,164586
42473262,3106,164460
42473245,3101,164644
42473229,3538,165474
42473213,2991,149057
42472625,2127,140470
42472380,2998,160101
42472325,4311,171053
42472281,4093,309532
42471953,2773,162908
42471852,5102,138635
42471841,6008,321360
42471715,1210,192426
42471183,4135,167428
42471092,3508,151345
42470244,3155,173004
42469689,3595,147045
42469645,2991,184092
42469612,1411,80870
42469514,1655,282494
42469494,1959,261679
42469290,1937,198135
42469118,8008,167760
42468741,3122,195118
42468531,3053,162309
42468394,4305,345649
42467919,1753,141036
42467885,2645,165231
42467850,2603,129103
42467793,2374,131105
42467482,3386,166299
42467478,4520,142464
42467474,4085,186338
42467470,3139,180682
42467460,4376,180739
42467300,5281,148600
1241986499,11661,595697
